County FIPS Code ,County ,Year,Weekend_Hospital Admisison Per  day,Weekdays_Hospital Admisison Per day ,Total Population ,(0-17) years,(18-44) years,(45-64) years,(65+ years),"Disease Burden (Age Adjusted Death Rate Per 100,000)                                         ","SVI (mean of year 2010,2013,2016,2019)",Price Parity Index (2020),Hospital bed (2020)
12073,Leon,2012,49,81,283620,56746,137094,63775,29095,575.5,0.393925,,
12075,Levy,2012,12,17,39823,8406,11173,12023,8451,775.3,0.66665,,
12077,Liberty,2012,1,3,8301,1662,3406,2255,973,905.5,0.723475,,
12079,Madison,2012,3,5,18972,4035,6493,5370,3245,836.1,0.738625,,
12081,Manatee,2012,81,127,333844,69436,94440,90592,81785,907.8,0.44695,,
12083,Marion,2012,92,147,333873,65152,92124,88862,89652,614.6,0.409125,,
12085,Martin,2012,30,51,148981,25251,37389,43379,42452,770.8,0.0985,,
12086,Miami-Dade,2012,682,1040,2576554,575084,979898,673913,374754,562.7,0.833325,,
12087,Monroe,2012,16,28,74560,12166,23875,25305,14044,640.1,0.22725,,
12089,Nassau,2012,17,30,74519,15737,22746,22462,13580,731.9,0.11745,,
12091,Okaloosa,2012,42,72,189762,46208,70202,50080,26889,765.9,0.29545,,
12093,Okeechobee,2012,15,25,39710,9509,13540,9928,7088,859.1,0.84845,,
12095,Orange,2012,313,468,1202498,290306,508350,293812,123275,700.6,0.61745,,
12097,Osceola,2012,78,115,288876,75164,109482,71132,34041,706.9,0.719675,,
12099,Palm Beach,2012,362,542,1354936,276555,426555,357029,301138,566.6,0.499975,,
12101,Pasco,2012,146,221,469637,99598,142526,127984,101530,768.7,0.428025,,
12103,Pinellas,2012,254,392,921642,163196,276247,281214,204203,713.5,0.325775,,
12105,Polk,2012,185,281,615453,146485,202273,155938,116057,747.9,0.678025,,
12107,Putnam,2012,20,35,72927,16942,21074,21165,14644,882.8,0.844675,,
12109,St. Johns,2012,39,65,202066,43878,61932,60596,34352,637.8,0.257575,,
12111,St. Lucie,2012,78,123,282931,62457,86233,75350,60123,665.3,0.405325,,
12113,Santa Rosa,2012,35,58,158190,36829,55557,44750,21478,802,0.2841,,
12115,Sarasota,2012,86,141,386437,59131,91602,109315,126071,583.3,0.1932,,
12117,Seminole,2012,97,147,430537,93926,158052,120652,56599,660.5,0.54925,,
12119,Sumter,2012,29,49,101669,8583,17482,26765,49087,565.5,0.30305,,
12121,Suwannee,2012,11,17,43534,9816,14089,11738,8317,898.8,0.863625,,
12123,Taylor,2012,4,8,22758,4729,8152,6403,3839,915.2,0.708325,,
12125,Union,2012,5,10,15255,3027,5813,4694,1804,1147.5,0.731075,,
12127,Volusia,2012,131,201,496535,93024,150828,144267,110057,787.4,0.458325,,
12129,Wakulla,2012,6,10,30859,6882,11416,8990,3775,858.9,0.4053,,
12131,Walton,2012,12,21,57190,12466,18470,17119,9980,761.2,0.5189,,
12133,Washington,2012,5,8,24741,5205,8712,6934,3974,857.3,0.696975,,
12001,Alachua,2013,57,82,252475,49521,120902,55812,30418,764.8,0.272725,,
12003,Baker,2013,6,10,27009,6935,9726,7151,3370,925.2,0.363625,,
12005,Bay,2013,50,79,174596,40391,61262,48163,27522,889.2,0.4394,,
12007,Bradford,2013,7,11,26802,5869,9365,7465,4480,855.3,0.61745,,
12009,Brevard,2013,152,239,550255,104147,159532,165639,121091,747.4,0.106075,,
12011,Broward,2013,480,695,1836600,412070,652977,509341,274686,636.2,0.5038,,
12013,Calhoun,2013,2,5,14578,3161,5145,3926,2425,820,0.67045,,
12015,Charlotte,2013,50,80,164671,21650,34506,47280,60881,623.6,0.208325,,
12017,Citrus,2013,43,69,138829,21130,29915,39906,47905,789.6,0.321975,,
12019,Clay,2013,46,74,195657,46839,66215,54636,26521,830.4,0.162875,,
12021,Collier,2013,67,106,338987,64869,92434,85924,97801,465.5,0.318175,,
12023,Columbia,2013,21,32,67417,15296,22868,18549,11365,961.6,0.67425,,
12027,DeSoto,2013,6,12,34905,7655,12379,8305,6925,605.3,0.75,,
12029,Dixie,2013,5,7,16084,3233,4692,4802,3543,662.6,0.443175,,
12031,Duval,2013,259,390,885943,220409,341423,231716,109102,946.4,0.424225,,
12033,Escambia,2013,83,129,306694,69270,116248,79432,46544,870,0.321975,,
12035,Flagler,2013,23,36,99798,18316,26062,27905,27233,890.1,0.140175,,
12037,Franklin,2013,2,4,11521,2060,4106,3230,2256,704.3,0.64395,,
12039,Gadsden,2013,11,17,46087,11069,15704,13049,6870,874.6,0.7121,,
12041,Gilchrist,2013,4,6,16957,3513,5610,4672,3197,932.9,0.5985,,
12043,Glades,2013,1,2,12670,2196,4205,3285,3006,810.8,0.60605,,
12045,Gulf,2013,3,6,15884,2516,5885,4687,2851,624.5,0.3826,,
12047,Hamilton,2013,3,5,14342,2812,5469,3938,2219,764.6,0.7841,,
12049,Hardee,2013,6,10,27311,7790,9922,6078,3906,875.8,0.8674,,
12051,Hendry,2013,9,15,37809,11318,13777,8614,4859,620.9,0.85605,,
12053,Hernando,2013,59,86,173639,32314,46102,47441,47085,785.8,0.321975,,
12055,Highlands,2013,29,49,98077,18118,23914,23659,32981,783.8,0.7159,,
12057,Hillsborough,2013,319,480,1304131,316323,500975,335393,165952,706.3,0.488675,,
12059,Holmes,2013,3,5,19594,4031,6594,5397,3616,753.5,0.5568,,
12061,Indian River,2013,37,59,141895,25591,35886,38966,41544,983.7,0.196975,,
12063,Jackson,2013,8,14,48880,9502,17678,13502,8506,636.1,0.76515,,
12065,Jefferson,2013,2,5,14209,2674,4420,4490,2786,886.6,0.530325,,
12067,Lafayette,2013,1,2,8819,1895,3667,2121,1202,756.3,0.6818,,
12069,Lake,2013,100,151,307973,62980,86754,80208,79259,839.4,0.397725,,
12071,Lee,2013,160,248,659834,128727,190342,175140,169988,691.2,0.35985,,
12073,Leon,2013,48,81,281887,56408,135755,62015,30629,583.9,0.393925,,
12075,Levy,2013,12,19,39433,8155,11045,11762,8686,747,0.66665,,
12077,Liberty,2013,1,2,8357,1625,3438,2244,1011,861.8,0.723475,,
12079,Madison,2013,3,6,18753,3949,6374,5274,3300,663.3,0.738625,,
12081,Manatee,2013,82,128,341855,69818,96039,92498,85494,923.7,0.44695,,
12083,Marion,2013,94,147,335083,64995,92003,88247,91714,614.8,0.409125,,
12085,Martin,2013,34,54,151126,25308,38117,43470,43689,808.2,0.0985,,
12086,Miami-Dade,2013,687,1036,2609692,573654,991282,685086,386640,616.9,0.833325,,
12087,Monroe,2013,16,29,75813,12246,24492,25281,14707,657,0.22725,,
12089,Nassau,2013,17,30,75384,15569,22837,22599,14272,802.2,0.11745,,
12091,Okaloosa,2013,43,73,192688,46757,71797,50027,27950,777,0.29545,,
12093,Okeechobee,2013,16,27,39482,9231,13221,9938,7368,856.6,0.84845,,
12095,Orange,2013,321,465,1227435,294735,517222,299399,129928,683.2,0.61745,,
12097,Osceola,2013,82,117,299238,77148,113991,72997,36057,726.1,0.719675,,
12099,Palm Beach,2013,364,537,1376462,278595,432415,362294,309663,568.3,0.499975,,
12101,Pasco,2013,147,214,474352,99255,143484,128742,104287,759,0.428025,,
12103,Pinellas,2013,259,388,928414,163202,278141,280995,209463,706.6,0.325775,,
12105,Polk,2013,191,279,622633,146730,204192,156157,120100,739.2,0.678025,,
12107,Putnam,2013,21,34,72370,16521,20895,20745,14895,908.2,0.844675,,
12109,St. Johns,2013,40,68,209439,45340,64143,62014,36752,622.5,0.257575,,
12111,St. Lucie,2013,86,127,285299,61355,86122,76040,62504,665.3,0.405325,,
12113,Santa Rosa,2013,34,57,160392,36891,56390,44949,22562,830.8,0.2841,,
12115,Sarasota,2013,90,144,389941,58945,91753,108665,130339,577.5,0.1932,,
12117,Seminole,2013,96,146,435503,94078,160006,121209,59379,638,0.54925,,
12119,Sumter,2013,30,50,106898,8682,17824,26769,53952,579.3,0.30305,,
12121,Suwannee,2013,11,17,43588,9693,14170,11600,8465,855,0.863625,,
12123,Taylor,2013,4,8,22873,4731,8200,6348,3951,834.3,0.708325,,
12125,Union,2013,4,9,15160,2971,5769,4622,1887,1494.1,0.731075,,
12127,Volusia,2013,130,202,500438,92744,151653,144176,113623,784.5,0.458325,,
12129,Wakulla,2013,6,10,31004,6614,11539,8938,4006,907.6,0.4053,,
12131,Walton,2013,13,22,59193,12980,19073,17427,10622,786.8,0.5189,,
12133,Washington,2013,5,8,24504,5062,8609,6834,4031,896.5,0.696975,,
12001,Alachua,2014,60,87,255456,50124,121729,55783,31913,751.5,0.272725,,
12003,Baker,2014,7,10,27122,6914,9678,7203,3492,835.8,0.363625,,
12005,Bay,2014,51,80,178289,41217,62575,48730,28513,922.2,0.4394,,
12007,Bradford,2014,7,12,26552,5713,9293,7258,4597,812.9,0.61745,,
12009,Brevard,2014,161,244,555548,104468,160157,166394,124920,749.9,0.106075,,
12011,Broward,2014,486,700,1860933,418016,658531,514869,283821,631.5,0.5038,,
12013,Calhoun,2014,3,5,14450,3051,5092,3881,2456,946.2,0.67045,,
12015,Charlotte,2014,51,84,168041,21597,34869,47734,63429,648.2,0.208325,,
12017,Citrus,2014,46,71,138828,21095,29861,39217,48801,864.3,0.321975,,
12019,Clay,2014,48,79,198570,46943,67045,55350,27808,781.5,0.162875,,
12021,Collier,2014,67,105,347211,65590,93811,87621,102217,467.5,0.318175,,
12023,Columbia,2014,22,33,67779,15512,22893,18386,11659,927.5,0.67425,,
12027,DeSoto,2014,6,12,35338,7518,12528,8377,7197,599.4,0.75,,
